,RF,pgm,pgi,gapC,zwf,rpe,WT_0_5,WT_0_7
b3097,15.10872367,17.45499247,14.24140083,7.35779969,11.6694602,24.73473442,10.22013215,8.731210869
b1205,23.23652349,11.29305398,3.86629442,8.579830002,12.06692698,20.52697807,6.239454749,1.178807956
b3284,17.1020687,11.90223485,12.05420037,13.42020825,12.90266877,25.56802941,8.167697512,7.194940885
b1920,16.40331254,18.14138863,19.33165115,26.9084663,11.18077186,14.50684208,21.03075476,18.16594246
b0679,16.15826416,9.973026424,7.43862014,22.12518253,15.89139428,15.66925944,10.19242555,4.281606254
b4252,17.76745243,18.0230436,17.12057798,19.7050177,8.593217007,20.87264795,19.95285938,14.94117792
b3736,16.80027027,17.48456055,11.35994599,15.32323356,24.23042871,9.229640161,22.14140603,18.13082152
b4069,19.19613348,17.22501983,4.205449439,20.39529439,12.48792413,26.63922298,2.436584112,0.750445521
b1714,15.67649449,16.34883908,29.89353801,21.41068973,15.3437731,10.8665808,18.98441369,21.60943266
b2426,18.37091257,13.39914736,4.515227855,18.54282377,13.1804654,24.9365259,6.212572108,2.70311474
b2286,15.72338508,12.00888624,15.48970245,16.34302012,19.21413733,19.03552281,18.77039197,16.1767246
b0726,15.1535693,10.96045845,19.66913968,17.38728616,13.85988736,15.33046693,14.40300496,12.37748863
b1777,18.21829972,14.64064506,13.78097743,24.49797451,8.530261957,16.04094606,11.24465286,9.692178836
b4174,13.61729414,15.30891171,9.354162869,13.75699923,14.14881576,8.855673516,17.69450553,15.87452009
b3294,12.84316497,13.4045852,16.59473466,13.28249399,12.21668381,8.496856599,30.72116287,31.1344999
b1324,13.66225476,13.98199683,21.03870857,25.09933256,17.51607546,11.06362219,20.36347366,21.16455255
b0912,14.39047581,13.52881506,16.30114351,14.81282156,11.91532949,25.50080075,11.30131929,8.747302469
b3317,16.13206315,13.36103897,22.02796149,19.07931375,12.79664008,7.867573872,14.63612103,36.77368672
b3527,7.209514837,6.450610579,7.568772568,7.311962724,8.095915022,7.456609406,6.448220153,7.304736498
b2999,16.12948388,17.7015013,23.00818899,11.88845461,11.36683092,14.10412483,9.153612101,9.047567307
b0432,13.94262775,11.71365273,15.35431287,14.64340984,18.65523565,10.36044564,24.13325422,31.0587869
b4206,13.49157943,10.29737648,12.84151495,16.5605043,12.75258435,18.01662624,10.29494275,7.113404841
b2309,15.04908925,10.94203636,15.08077035,19.22905354,15.34175641,18.41381179,11.74404886,13.94713072
b1823,12.84921406,31.81338002,10.85249763,10.69267353,10.14993883,17.79501993,11.24792205,9.982667506
b1243,11.84968152,11.73378849,8.730633401,17.06263366,9.470291597,9.239989837,16.62741048,13.80772202
b0727,15.87329685,16.29915915,22.19868325,11.87019092,11.4108337,15.46506934,16.60675628,12.42017758
b2659,9.516064637,9.745395601,13.45556972,10.40187125,10.45006827,27.23829025,8.250611642,9.470925226
b3738,16.37348192,15.52059878,10.52797987,7.363520702,15.76711314,9.288397964,19.04710672,14.16135316
b2927,12.4381041,19.66147556,19.94498825,12.92964206,17.09524837,14.42302234,16.72213329,16.888978
b3418,13.9126937,14.55253644,10.23068444,22.89545964,17.74140915,16.33065985,8.688992325,3.839684021
b4173,12.45955556,12.75964034,20.69163588,10.44278137,11.7017162,10.18211244,12.19256719,11.06716267
